Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2511350;Playa de San Juan;Playa de San Juan;Playa San Juan;P;PPL;ES;Spain;;53;TF;38019;;7036;;17;Atlantic/Canary;2020-02-21;Spain;28.18159, -16.81689
2515772;La Matanza de Acentejo;La Matanza de Acentejo;La Matanza de Acentejo,La-Matansa-de-Asentekho,la ma tan sa de ya sen te huo,la matansa d asntkhw,la mtantha dy athyntykhw,Ла-Матанса-де-Асентехо,لا ماتانزا دے اسنتیجو,لا ماتانسا د آسنتخو,لا متانثا دي أثينتيخو,拉马坦萨德亚森特霍;P;PPLA3;ES;Spain;;53;TF;38025;;7709;;515;Atlantic/Canary;2012-03-04;Spain;28.45242, -16.4472
6949575;Stadtzentrum;Stadtzentrum;city center;P;PPLX;ES;Spain;;53;GC;35016;;88546;;18;Atlantic/Canary;2024-03-29;Spain;28.1272, -15.4314
2610343;Vestmanna;Vestmanna;Vestmana,Vestmanhavn,Vestmanna,Vestmannae,Vestmannahoefn,Vestmannahöfn,Vestmanshavn,Vestnanhavn,wei si te man na,Βέστμανα,Вестмана,Вестманнæ,Вестманна,Վեստմանա,韦斯特曼纳;P;PPL;FO;Faeroe Islands;DK;ST;28;;;1268;;142;Atlantic/Faroe;2023-01-03;Faeroe Islands;62.15354, -7.17291
2618795;Klaksvík;Klaksvik;Klakksvik,Klakksvík,Klaksvig,Klaksvik,Klaksvikas,Klaksvujk,Klaksvík,ke la ke si wei ke,klaksvyk,klakswyk,kurakusuvuiku,Клаксвик,Клаксвуйк,Клаксвік,Քլակսվուիկ,קלאקסוויק,كلاكسويك,كلاكسڤيك,კლაქსვიკი,クラクスヴィーク,克拉克斯维克;P;PPLA;FO;Faeroe Islands;DK;NO;5;;;5013;;88;Atlantic/Faroe;2022-08-13;Faeroe Islands;62.22655, -6.58901
2510542;Telde;Telde;Tel'de,Telde,te er de,tyldy,Телде,Тельде,تيلدي,特尔德;P;PPLA3;ES;Spain;;53;GC;35026;;123265;;160;Atlantic/Canary;2025-07-28;Spain;27.99243, -15.41915
2514353;Mácher;Macher;Macher,Mácher,Мачер;P;PPL;ES;Spain;;53;GC;35028;;1065;;198;Atlantic/Canary;2018-11-04;Spain;28.9484, -13.69117
2516443;Ingenio;Ingenio;Carrizal de Ingenio,Ingenio;P;PPLA3;ES;Spain;;53;GC;35011;;29319;;266;Atlantic/Canary;2025-01-22;Spain;27.91855, -15.43433
6355013;Puerto del Carmen;Puerto del Carmen;Puehrto-del'-Karmen,Puerto del Carmen,Пуэрто-дель-Кармен;P;PPL;ES;Spain;;53;GC;35028;;30000;;44;Atlantic/Canary;2015-06-10;Spain;28.92313, -13.66579
6355214;Las Rosas;Las Rosas;;P;PPLX;ES;Spain;;53;TF;38006;;2000;;20;Atlantic/Canary;2007-03-11;Spain;28.01539, -16.65373
2263496;Santa Maria Maior;Santa Maria Maior;Santa Maria Maior;P;PPL;PT;Portugal;;10;3103;310304;;11768;;100;Atlantic/Madeira;2024-09-04;Portugal;32.64838, -16.89087
2263905;Ribeira Brava;Ribeira Brava;Ribeira Brava,Ribeira Mpraba,Ριβέιρα Μπράβα;P;PPL;PT;Portugal;;10;3107;310702;;5932;;25;Atlantic/Madeira;2018-03-01;Portugal;32.67483, -17.06288
2270273;Canhas;Canhas;Canhas;P;PPL;PT;Portugal;;10;3105;310503;;3769;;272;Atlantic/Madeira;2024-02-01;Portugal;32.69465, -17.1127
2613921;Skálavík;Skalavik;Skaalevig,Skalavik,Skalevig,Skálavík,Skålevig;P;PPLA2;FO;Faeroe Islands;;SA;41;;;171;;12;Atlantic/Faroe;2019-04-29;Faeroe Islands;61.83141, -6.6623
2627309;Sauðárkrókur;Saudarkrokur;SAK,Saudarkrok,Saudarkroki,Saudarkrokr,Saudarkroks,Saudarkrokur,Saudharkrokur,Sauðarkrokur,Sauðárkrók,Sauðárkróki,Sauðárkróks,Sauðárkrókur,soizaurukuroukuru,ソイザウルクロウクル;P;PPLA;IS;Iceland;;41;5200;;;2614;;1;Atlantic/Reykjavik;2025-03-18;Iceland;65.74611, -19.63944
3417972;Álftanes;Alftanes;Al'ftanes,Alftanes,Alftanesi,Aul'ftanes,Aulftanes,alftans,ao er ta nei si,aulpeutaneseu,aurutanesu,Álftanes,Álftanesi,Альфтанес,Аулфтанес,Аульфтанес,אאולפטאנס,آلفتانس,アゥルタネース,奧爾塔內斯,아울프타네스;P;PPL;IS;Iceland;;39;1300;;;2392;;-9999;Atlantic/Reykjavik;2019-09-05;Iceland;64.1, -22.01667
11258566;Borgarnes;Borgarnes;;P;PPL;IS;Iceland;;45;3609;;;1875;;14;Atlantic/Reykjavik;2022-01-15;Iceland;64.56219, -21.90082
3374218;Santa Maria;Santa Maria;Santa Maria,Santa Marija,Santa-Marija,santamalia,sheng ma li ya,snth mryh,Санта-Мария,Санта-Марія,סנטה מריה,サンタ・マリア,圣玛丽亚,聖瑪麗亞,산타마리아;P;PPL;CV;Cape Verde;;08;;;;8400;;5;Atlantic/Cape_Verde;2023-11-29;Cape Verde;16.59796, -22.90509
3374221;Santa Cruz;Santa Cruz;Santa Cruz;P;PPL;CV;Cape Verde;;16;;;;9488;;11;Atlantic/Cape_Verde;2025-05-15;Cape Verde;15.13403, -23.55945
